,Gamma,input_graph,Network_type,Connection_prob,Layers,Dtandard_dev,Top_homogeneity,Top_completeness,Top_NMI,Middle_homogeneity,Middle_Completeness,Middle_NMI,TOAL_Loss,Resolution_top,Resolution_middle,Louvain_modularity,Louvain_homogenity_top,Louvain_completeness_top,Louvain_NMI_top,Louvain_homogenity_middle,Louvain_completeness_middle,Louvain_NMI_middle,Comms_predicted_top,Comms_predicted_middle,Louvain_predicted,Modularity_top,Modularity_middle,True_mod_top,True_mod_middle,True_aeb_top,True_aeb_middle,True_aew_top,True_aew_middle
5,0.5,A_ingraph02,random graph,full,3,0.1,0.2022,0.2386,0.2189,0.4379,0.471,0.4539,True,1,1,0.8275,0.7417,0.3885,0.5099,0.7213,0.5864,0.6469,5,12,29,0.6666,0.7829,0.668219767,0.665963906,0.9,0.287878788,27.2,9.666666667
0,0.5,A_ingraph02,small world,disc,3,0.1,0.5904,1.0,0.7425,0.5971,0.9868,0.744,False,1,1,0.7972,1.0,1.0,1.0,0.5943,1.0,0.7455,2,5,5,0.5689,0.7972,0.799975715,0.759746223,0.0,0.3,72.6,20.0
1,0.5,A_ingraph02,small world,full,3,0.1,0.2658,0.7512,0.3927,0.2059,0.8734,0.3333,False,1,1,0.238,0.3124,0.4788,0.3781,0.2874,0.7412,0.4142,2,2,5,0.225,0.225,0.698516095,0.690238879,2.0,0.457142857,71.2,20.0
2,0.5,A_ingraph02,scale free,disc,3,0.1,0.5904,0.8819,0.7073,0.7083,0.9931,0.8269,False,1,1,0.8283,1.0,0.7614,0.8645,0.7708,0.9875,0.8658,4,8,9,0.6882,0.785,0.780991627,0.881581213,0.0,0.180952381,191.6,61.33333333
3,0.5,A_ingraph02,scale free,full,3,0.1,0.4101,0.5371,0.4651,0.5254,0.9432,0.6749,False,1,1,0.407,0.6388,0.5284,0.5784,0.6348,0.8837,0.7389,4,6,8,0.3929,0.3988,0.741476712,0.842254166,1.95,0.376190476,192.0,61.33333333
4,0.5,A_ingraph02,random graph,disc,3,0.1,0.1152,0.1649,0.1356,0.4687,0.5188,0.4925,False,1,1,0.8963,1.0,0.4808,0.6494,0.8354,0.6235,0.714,4,11,37,0.6,0.8204,0.786403112,0.759310565,0.0,0.159090909,27.4,9.666666667
5,0.5,A_ingraph02,random graph,full,3,0.1,0.1446,0.2198,0.1744,0.3904,0.4354,0.4117,False,1,1,0.8275,0.7417,0.3885,0.5099,0.7213,0.5864,0.6469,4,11,29,0.5389,0.7579,0.668219767,0.665963906,0.9,0.287878788,27.2,9.666666667
0,0,A_ingraph02,small world,disc,3,0.1,0.6555,1.0,0.7919,0.5943,1.0,0.7455,True,1,1,0.7972,1.0,1.0,1.0,0.5943,1.0,0.7455,3,5,5,0.7346,0.7972,0.799975715,0.759746223,0.0,0.3,72.6,20.0
1,0,A_ingraph02,small world,full,3,0.1,0.2631,0.7344,0.3874,0.1987,0.8758,0.324,True,1,1,0.238,0.3124,0.4788,0.3781,0.2874,0.7412,0.4142,1,2,5,0.159,0.1513,0.698516095,0.690238879,2.0,0.457142857,71.2,20.0
2,0,A_ingraph02,scale free,disc,3,0.1,0.3767,0.615,0.4672,0.7296,0.9933,0.8413,True,1,1,0.8283,1.0,0.7614,0.8645,0.7708,0.9875,0.8658,4,8,9,0.4655,0.8243,0.780991627,0.881581213,0.0,0.180952381,191.6,61.33333333
3,0,A_ingraph02,scale free,full,3,0.1,0.1411,0.3669,0.2039,0.4578,0.9192,0.6112,True,1,1,0.407,0.6388,0.5284,0.5784,0.6348,0.8837,0.7389,2,4,8,0.2684,0.3685,0.741476712,0.842254166,1.95,0.376190476,192.0,61.33333333
4,0,A_ingraph02,random graph,disc,3,0.1,0.0943,0.1334,0.1105,0.4021,0.472,0.4342,True,1,1,0.8963,1.0,0.4808,0.6494,0.8354,0.6235,0.714,4,12,37,0.5653,0.8078,0.786403112,0.759310565,0.0,0.159090909,27.4,9.666666667
5,0,A_ingraph02,random graph,full,3,0.1,0.129,0.1561,0.1413,0.4248,0.4735,0.4478,True,1,1,0.8275,0.7417,0.3885,0.5099,0.7213,0.5864,0.6469,4,12,29,0.6937,0.7975,0.668219767,0.665963906,0.9,0.287878788,27.2,9.666666667
0,0,A_ingraph02,small world,disc,3,0.1,0.4182,1.0,0.5897,0.4919,1.0,0.6595,False,1,1,0.7972,1.0,1.0,1.0,0.5943,1.0,0.7455,2,4,5,0.6493,0.7283,0.799975715,0.759746223,0.0,0.3,72.6,20.0
1,0,A_ingraph02,small world,full,3,0.1,0.0,1.0,0.0,0.1999,0.9505,0.3303,False,1,1,0.238,0.3124,0.4788,0.3781,0.2874,0.7412,0.4142,1,2,5,0.2215,0.2215,0.698516095,0.690238879,2.0,0.457142857,71.2,20.0
2,0,A_ingraph02,scale free,disc,3,0.1,0.6964,0.8212,0.7536,0.6139,0.9757,0.7536,False,1,1,0.8283,1.0,0.7614,0.8645,0.7708,0.9875,0.8658,4,6,9,0.6931,0.7582,0.780991627,0.881581213,0.0,0.180952381,191.6,61.33333333
3,0,A_ingraph02,scale free,full,3,0.1,0.2808,0.3451,0.3097,0.5697,0.9073,0.6999,False,1,1,0.4126,0.6322,0.5102,0.5647,0.6658,0.9041,0.7669,4,7,9,0.3866,0.3994,0.741476712,0.842254166,1.95,0.376190476,192.0,61.33333333
4,0,A_ingraph02,random graph,disc,3,0.1,0.2146,0.2603,0.2353,0.4468,0.5023,0.4729,False,1,1,0.8963,1.0,0.4808,0.6494,0.8354,0.6235,0.714,4,12,37,0.6891,0.8344,0.786403112,0.759310565,0.0,0.159090909,27.4,9.666666667
5,0,A_ingraph02,random graph,full,3,0.1,0.1628,0.1986,0.1789,0.4377,0.4757,0.4559,False,1,1,0.8275,0.7417,0.3885,0.5099,0.7213,0.5864,0.6469,5,11,29,0.5682,0.8041,0.668219767,0.665963906,0.9,0.287878788,27.2,9.666666667
0,1,A_ingraph05,small world,disc,3,0.1,0.4961,0.8224,0.6189,0.578,0.8634,0.6924,True,1,1,0.7898,1.0,0.8579,0.9235,0.6224,0.8984,0.7354,3,10,13,0.4807,0.7829,0.799975715,0.759746223,0.0,0.3,72.6,20.0
1,1,A_ingraph05,small world,full,3,0.1,0.154,0.3662,0.2168,0.3034,0.6811,0.4198,True,1,1,0.4551,0.5128,0.497,0.5048,0.4262,0.695,0.5284,3,7,13,0.3796,0.4405,0.698516095,0.690238879,2.0,0.457142857,71.2,20.0
2,1,A_ingraph05,scale free,disc,3,0.1,0.3228,0.3948,0.3552,0.8047,0.905,0.8519,True,1,1,0.9241,1.0,0.5903,0.7423,0.9095,0.9033,0.9064,4,13,18,0.7022,0.9057,0.780991627,0.881581213,0.0,0.180952381,191.6,61.33333333
3,1,A_ingraph05,scale free,full,3,0.1,0.2629,0.3735,0.3085,0.5831,0.8321,0.6857,True,1,1,0.7693,0.7956,0.5085,0.6205,0.7876,0.847,0.8163,4,8,20,0.5819,0.7032,0.741476712,0.842254166,1.95,0.376190476,192.0,61.33333333
4,1,A_ingraph05,random graph,disc,3,0.1,0.06,0.0746,0.0665,0.3429,0.3558,0.3493,True,1,1,0.9612,1.0,0.3748,0.5453,0.9469,0.5509,0.6965,4,12,83,0.6684,0.8785,0.786403112,0.759310565,0.0,0.159090909,27.4,9.666666667
5,1,A_ingraph05,random graph,full,3,0.1,0.0898,0.207,0.1253,0.3666,0.3882,0.3771,True,1,1,0.9233,0.8654,0.3494,0.4978,0.848,0.5314,0.6534,3,12,70,0.4926,0.8469,0.668219767,0.665963906,0.9,0.287878788,27.2,9.666666667
0,1,A_ingraph05,small world,disc,3,0.1,0.3442,0.82,0.4849,0.4607,0.8707,0.6026,False,1,1,0.7898,1.0,0.8579,0.9235,0.6224,0.8984,0.7354,2,6,13,0.5923,0.7233,0.799975715,0.759746223,0.0,0.3,72.6,20.0
1,1,A_ingraph05,small world,full,3,0.1,0.0,1.0,0.0,0.2905,0.7459,0.4181,False,1,1,0.4551,0.5128,0.497,0.5048,0.4262,0.695,0.5284,3,8,13,0.3809,0.4393,0.698516095,0.690238879,2.0,0.457142857,71.2,20.0
2,1,A_ingraph05,scale free,disc,3,0.1,0.3416,0.5175,0.4115,0.7123,0.8903,0.7914,False,1,1,0.9241,1.0,0.5903,0.7423,0.9095,0.9033,0.9064,4,10,18,0.6,0.8625,0.780991627,0.881581213,0.0,0.180952381,191.6,61.33333333
3,1,A_ingraph05,scale free,full,3,0.1,0.3214,0.4367,0.3703,0.6895,0.8632,0.7666,False,1,1,0.7693,0.7956,0.5085,0.6205,0.7876,0.847,0.8163,3,10,20,0.591,0.7443,0.741476712,0.842254166,1.95,0.376190476,192.0,61.33333333
4,1,A_ingraph05,random graph,disc,3,0.1,0.0961,0.1078,0.1016,0.3116,0.3365,0.3235,False,1,1,0.9612,1.0,0.3748,0.5453,0.9469,0.5509,0.6965,5,12,83,0.715,0.8653,0.786403112,0.759310565,0.0,0.159090909,27.4,9.666666667
5,1,A_ingraph05,random graph,full,3,0.1,0.0953,0.1002,0.0977,0.3303,0.3526,0.3411,False,1,1,0.9233,0.8654,0.3494,0.4978,0.848,0.5314,0.6534,5,12,70,0.7277,0.8381,0.668219767,0.665963906,0.9,0.287878788,27.2,9.666666667
0,0.5,A_ingraph05,small world,disc,3,0.1,0.529,0.7941,0.635,0.5964,0.8786,0.7105,True,1,1,0.7898,1.0,0.8579,0.9235,0.6224,0.8984,0.7354,4,9,13,0.561,0.788,0.799975715,0.759746223,0.0,0.3,72.6,20.0
1,0.5,A_ingraph05,small world,full,3,0.1,0.3186,0.4691,0.3795,0.3206,0.6855,0.4369,True,1,1,0.4551,0.5128,0.497,0.5048,0.4262,0.695,0.5284,4,9,13,0.4405,0.441,0.698516095,0.690238879,2.0,0.457142857,71.2,20.0
2,0.5,A_ingraph05,scale free,disc,3,0.1,0.4031,0.4799,0.4382,0.6913,0.8965,0.7806,True,1,1,0.9241,1.0,0.5903,0.7423,0.9095,0.9033,0.9064,4,10,18,0.726,0.8481,0.780991627,0.881581213,0.0,0.180952381,191.6,61.33333333
3,0.5,A_ingraph05,scale free,full,3,0.1,0.2976,0.4573,0.3606,0.6159,0.8492,0.7139,True,1,1,0.7693,0.7956,0.5085,0.6205,0.7876,0.847,0.8163,3,8,20,0.6206,0.7317,0.741476712,0.842254166,1.95,0.376190476,192.0,61.33333333
4,0.5,A_ingraph05,random graph,disc,3,0.1,0.1143,0.1497,0.1297,0.3143,0.3432,0.3281,True,1,1,0.9612,1.0,0.3748,0.5453,0.9469,0.5509,0.6965,4,12,83,0.6988,0.8342,0.786403112,0.759310565,0.0,0.159090909,27.4,9.666666667
5,0.5,A_ingraph05,random graph,full,3,0.1,0.1161,0.1546,0.1326,0.3545,0.3822,0.3678,True,1,1,0.9233,0.8654,0.3494,0.4978,0.848,0.5314,0.6534,4,12,70,0.6594,0.8484,0.668219767,0.665963906,0.9,0.287878788,27.2,9.666666667
0,0.5,A_ingraph05,small world,disc,3,0.1,0.5446,0.7848,0.643,0.5305,0.8352,0.6489,False,1,1,0.7898,1.0,0.8579,0.9235,0.6224,0.8984,0.7354,4,10,13,0.6164,0.7018,0.799975715,0.759746223,0.0,0.3,72.6,20.0
1,0.5,A_ingraph05,small world,full,3,0.1,0.2094,0.583,0.3081,0.3427,0.7314,0.4667,False,1,1,0.4551,0.5128,0.497,0.5048,0.4262,0.695,0.5284,4,9,13,0.1152,0.4363,0.698516095,0.690238879,2.0,0.457142857,71.2,20.0
2,0.5,A_ingraph05,scale free,disc,3,0.1,0.333,0.5203,0.4061,0.7167,0.8609,0.7822,False,1,1,0.9241,1.0,0.5903,0.7423,0.9095,0.9033,0.9064,3,11,18,0.6286,0.8923,0.780991627,0.881581213,0.0,0.180952381,191.6,61.33333333
3,0.5,A_ingraph05,scale free,full,3,0.1,0.3426,0.4123,0.3742,0.5698,0.8529,0.6832,False,1,1,0.7693,0.7956,0.5085,0.6205,0.7876,0.847,0.8163,4,8,20,0.6447,0.661,0.741476712,0.842254166,1.95,0.376190476,192.0,61.33333333
4,0.5,A_ingraph05,random graph,disc,3,0.1,0.0334,0.0532,0.041,0.3454,0.3531,0.3492,False,1,1,0.9612,1.0,0.3748,0.5453,0.9469,0.5509,0.6965,4,12,83,0.5888,0.8736,0.786403112,0.759310565,0.0,0.159090909,27.4,9.666666667
5,0.5,A_ingraph05,random graph,full,3,0.1,0.0848,0.101,0.0922,0.3358,0.356,0.3456,False,1,1,0.9233,0.8654,0.3494,0.4978,0.848,0.5314,0.6534,4,11,70,0.7099,0.8652,0.668219767,0.665963906,0.9,0.287878788,27.2,9.666666667
0,0,A_ingraph05,small world,disc,3,0.1,0.6109,0.847,0.7099,0.5848,0.9097,0.712,True,1,1,0.7898,1.0,0.8579,0.9235,0.6224,0.8984,0.7354,4,9,13,0.6315,0.789,0.799975715,0.759746223,0.0,0.3,72.6,20.0
1,0,A_ingraph05,small world,full,3,0.1,0.218,0.5653,0.3146,0.3338,0.7063,0.4533,True,1,1,0.4551,0.5128,0.497,0.5048,0.4262,0.695,0.5284,3,9,13,0.1171,0.4393,0.698516095,0.690238879,2.0,0.457142857,71.2,20.0
2,0,A_ingraph05,scale free,disc,3,0.1,0.3903,0.5763,0.4654,0.7071,0.9008,0.7923,True,1,1,0.9241,1.0,0.5903,0.7423,0.9095,0.9033,0.9064,3,10,18,0.6375,0.857,0.780991627,0.881581213,0.0,0.180952381,191.6,61.33333333
3,0,A_ingraph05,scale free,full,3,0.1,0.2258,0.3893,0.2859,0.6008,0.822,0.6942,True,1,1,0.7693,0.7956,0.5085,0.6205,0.7876,0.847,0.8163,4,8,20,0.4,0.7099,0.741476712,0.842254166,1.95,0.376190476,192.0,61.33333333
4,0,A_ingraph05,random graph,disc,3,0.1,0.0487,0.0831,0.0614,0.3483,0.3626,0.3553,True,1,1,0.9612,1.0,0.3748,0.5453,0.9469,0.5509,0.6965,3,12,83,0.5658,0.885,0.786403112,0.759310565,0.0,0.159090909,27.4,9.666666667
5,0,A_ingraph05,random graph,full,3,0.1,0.0724,0.0862,0.0787,0.3637,0.3714,0.3675,True,1,1,0.923,0.861,0.3521,0.4998,0.835,0.53,0.6484,4,12,69,0.7181,0.885,0.668219767,0.665963906,0.9,0.287878788,27.2,9.666666667
0,0,A_ingraph05,small world,disc,3,0.1,0.7354,0.8857,0.8036,0.6054,0.8965,0.7228,False,1,1,0.7898,1.0,0.8579,0.9235,0.6224,0.8984,0.7354,4,9,13,0.7056,0.783,0.799975715,0.759746223,0.0,0.3,72.6,20.0
1,0,A_ingraph05,small world,full,3,0.1,0.2824,0.7265,0.4067,0.3593,0.7391,0.4835,False,1,1,0.4551,0.5128,0.497,0.5048,0.4262,0.695,0.5284,5,10,13,0.4397,0.4403,0.698516095,0.690238879,2.0,0.457142857,71.2,20.0
2,0,A_ingraph05,scale free,disc,3,0.1,0.3715,0.5381,0.4395,0.8117,0.9034,0.8551,False,1,1,0.9241,1.0,0.5903,0.7423,0.9095,0.9033,0.9064,5,12,18,0.616,0.906,0.780991627,0.881581213,0.0,0.180952381,191.6,61.33333333
3,0,A_ingraph05,scale free,full,3,0.1,0.2839,0.4405,0.3453,0.5955,0.8306,0.6937,False,1,1,0.7693,0.7956,0.5085,0.6205,0.7876,0.847,0.8163,3,11,20,0.6143,0.7162,0.741476712,0.842254166,1.95,0.376190476,192.0,61.33333333
4,0,A_ingraph05,random graph,disc,3,0.1,0.0642,0.08,0.0713,0.3965,0.4119,0.4041,False,1,1,0.9612,1.0,0.3748,0.5453,0.9469,0.5509,0.6965,4,12,83,0.6772,0.8784,0.786403112,0.759310565,0.0,0.159090909,27.4,9.666666667
5,0,A_ingraph05,random graph,full,3,0.1,0.0642,0.0905,0.0751,0.3781,0.395,0.3864,False,1,1,0.923,0.861,0.3521,0.4998,0.835,0.53,0.6484,4,12,69,0.6421,0.8758,0.668219767,0.665963906,0.9,0.287878788,27.2,9.666666667
0,1,A_ingraph07,small world,disc,3,0.1,0.601,0.7184,0.6545,0.5453,0.8058,0.6505,True,1,1,0.823,1.0,0.6398,0.7803,0.7251,0.7806,0.7518,5,11,26,0.6728,0.7379,0.799975715,0.759746223,0.0,0.3,72.6,20.0
1,1,A_ingraph07,small world,full,3,0.1,0.3189,0.4449,0.3715,0.4224,0.6065,0.498,True,1,1,0.5815,0.586,0.436,0.5,0.5311,0.6649,0.5905,2,10,22,0.4501,0.5245,0.698516095,0.690238879,2.0,0.457142857,71.2,20.0
2,1,A_ingraph07,scale free,disc,3,0.1,0.2705,0.4205,0.3292,0.6999,0.9136,0.7926,True,1,1,0.9188,1.0,0.3521,0.5208,1.0,0.5925,0.7441,4,11,168,0.5497,0.8336,0.780991627,0.881581213,0.0,0.180952381,191.6,61.33333333
3,1,A_ingraph07,scale free,full,3,0.1,0.0944,0.2488,0.1369,0.5475,0.8026,0.651,True,1,1,0.7567,0.9784,0.3716,0.5386,0.9773,0.6245,0.7621,2,11,144,0.4846,0.6663,0.741476712,0.842254166,1.95,0.376190476,192.0,61.33333333
4,1,A_ingraph07,random graph,disc,3,0.1,0.0794,0.0966,0.0871,0.3235,0.3341,0.3287,True,1,1,0.9612,1.0,0.3402,0.5077,0.9838,0.5195,0.6799,5,12,119,0.6216,0.8879,0.786403112,0.759310565,0.0,0.159090909,27.4,9.666666667
5,1,A_ingraph07,random graph,full,3,0.1,0.0882,0.1019,0.0946,0.2606,0.2827,0.2712,True,1,1,0.9572,0.973,0.3372,0.5008,0.9465,0.5091,0.6621,5,12,112,0.6968,0.8473,0.668219767,0.665963906,0.9,0.287878788,27.2,9.666666667
0,1,A_ingraph07,small world,disc,3,0.1,0.317,0.5842,0.411,0.5626,0.7639,0.648,False,1,1,0.823,1.0,0.6398,0.7803,0.7251,0.7806,0.7518,3,13,26,0.3386,0.7317,0.799975715,0.759746223,0.0,0.3,72.6,20.0
1,1,A_ingraph07,small world,full,3,0.1,0.3205,0.4658,0.3798,0.391,0.7055,0.5032,False,1,1,0.5816,0.5964,0.454,0.5156,0.5366,0.6873,0.6027,4,11,21,0.528,0.5394,0.698516095,0.690238879,2.0,0.457142857,71.2,20.0
2,1,A_ingraph07,scale free,disc,3,0.1,0.2422,0.3924,0.2995,0.7523,0.9134,0.825,False,1,1,0.9188,1.0,0.3521,0.5208,1.0,0.5925,0.7441,3,11,168,0.6815,0.8739,0.780991627,0.881581213,0.0,0.180952381,191.6,61.33333333
3,1,A_ingraph07,scale free,full,3,0.1,0.2968,0.3642,0.3271,0.5834,0.7692,0.6636,False,1,1,0.7567,0.9784,0.3716,0.5386,0.9773,0.6245,0.7621,4,13,144,0.6665,0.6737,0.741476712,0.842254166,1.95,0.376190476,192.0,61.33333333
4,1,A_ingraph07,random graph,disc,3,0.1,0.0408,0.0665,0.0506,0.3122,0.3222,0.3171,False,1,1,0.9612,1.0,0.3402,0.5077,0.9838,0.5195,0.6799,3,12,119,0.6051,0.876,0.786403112,0.759310565,0.0,0.159090909,27.4,9.666666667
5,1,A_ingraph07,random graph,full,3,0.1,0.0432,0.0632,0.0513,0.3321,0.3351,0.3336,False,1,1,0.9572,0.973,0.3372,0.5008,0.9465,0.5091,0.6621,3,12,112,0.6521,0.8919,0.668219767,0.665963906,0.9,0.287878788,27.2,9.666666667
0,0.5,A_ingraph07,small world,disc,3,0.1,0.5304,0.6675,0.5911,0.601,0.789,0.6823,True,1,1,0.823,1.0,0.6398,0.7803,0.7251,0.7806,0.7518,5,14,26,0.6844,0.798,0.799975715,0.759746223,0.0,0.3,72.6,20.0
1,0.5,A_ingraph07,small world,full,3,0.1,0.3282,0.4644,0.3846,0.3753,0.6861,0.4852,True,1,1,0.5822,0.6066,0.4478,0.5153,0.5453,0.6773,0.6041,4,12,22,0.544,0.548,0.698516095,0.690238879,2.0,0.457142857,71.2,20.0
2,0.5,A_ingraph07,scale free,disc,3,0.1,0.3502,0.408,0.3769,0.789,0.9357,0.8561,True,1,1,0.9188,1.0,0.3521,0.5208,1.0,0.5925,0.7441,5,11,168,0.6996,0.8733,0.780991627,0.881581213,0.0,0.180952381,191.6,61.33333333
3,0.5,A_ingraph07,scale free,full,3,0.1,0.1415,0.2331,0.1761,0.6935,0.783,0.7355,True,1,1,0.7567,0.9784,0.3716,0.5386,0.9773,0.6245,0.7621,3,14,144,0.5938,0.7149,0.741476712,0.842254166,1.95,0.376190476,192.0,61.33333333
4,0.5,A_ingraph07,random graph,disc,3,0.1,0.039,0.0597,0.0472,0.3318,0.3503,0.3408,True,1,1,0.9612,1.0,0.3402,0.5077,0.9838,0.5195,0.6799,3,12,119,0.6373,0.8774,0.786403112,0.759310565,0.0,0.159090909,27.4,9.666666667
5,0.5,A_ingraph07,random graph,full,3,0.1,0.1474,0.1748,0.1599,0.3179,0.3325,0.325,True,1,1,0.9572,0.973,0.3372,0.5008,0.9465,0.5091,0.6621,4,12,112,0.6997,0.8739,0.668219767,0.665963906,0.9,0.287878788,27.2,9.666666667
0,0.5,A_ingraph07,small world,disc,3,0.1,0.4074,0.5833,0.4798,0.6266,0.7854,0.6971,False,1,1,0.823,1.0,0.6398,0.7803,0.7251,0.7806,0.7518,4,13,26,0.6118,0.8127,0.799975715,0.759746223,0.0,0.3,72.6,20.0
1,0.5,A_ingraph07,small world,full,3,0.1,0.1701,0.3966,0.2381,0.3011,0.6606,0.4136,False,1,1,0.5772,0.5803,0.434,0.4966,0.5293,0.6661,0.5899,2,9,22,0.4619,0.4956,0.698516095,0.690238879,2.0,0.457142857,71.2,20.0
2,0.5,A_ingraph07,scale free,disc,3,0.1,0.2698,0.3411,0.3013,0.7303,0.9287,0.8176,False,1,1,0.9188,1.0,0.3521,0.5208,1.0,0.5925,0.7441,4,11,168,0.6849,0.8671,0.780991627,0.881581213,0.0,0.180952381,191.6,61.33333333
3,0.5,A_ingraph07,scale free,full,3,0.1,0.3266,0.4423,0.3758,0.6156,0.8514,0.7146,False,1,1,0.7567,0.9784,0.3716,0.5386,0.9773,0.6245,0.7621,4,11,144,0.4434,0.7054,0.741476712,0.842254166,1.95,0.376190476,192.0,61.33333333
4,0.5,A_ingraph07,random graph,disc,3,0.1,0.114,0.1354,0.1238,0.3059,0.3206,0.3131,False,1,1,0.9612,1.0,0.3402,0.5077,0.9838,0.5195,0.6799,4,12,119,0.7179,0.8638,0.786403112,0.759310565,0.0,0.159090909,27.4,9.666666667
5,0.5,A_ingraph07,random graph,full,3,0.1,0.1242,0.141,0.1321,0.279,0.2921,0.2854,False,1,1,0.9572,0.973,0.3372,0.5008,0.9465,0.5091,0.6621,5,12,112,0.7271,0.8845,0.668219767,0.665963906,0.9,0.287878788,27.2,9.666666667
0,0,A_ingraph07,small world,disc,3,0.1,0.6619,0.774,0.7135,0.5746,0.865,0.6905,True,1,1,0.823,1.0,0.6398,0.7803,0.7251,0.7806,0.7518,5,10,26,0.608,0.7953,0.799975715,0.759746223,0.0,0.3,72.6,20.0
1,0,A_ingraph07,small world,full,3,0.1,0.0,1.0,0.0,0.4092,0.5968,0.4855,True,1,1,0.5822,0.6066,0.4478,0.5153,0.5453,0.6773,0.6041,2,9,22,0.376,0.4862,0.698516095,0.690238879,2.0,0.457142857,71.2,20.0
2,0,A_ingraph07,scale free,disc,3,0.1,0.2879,0.399,0.3344,0.7186,0.8719,0.7878,True,1,1,0.9188,1.0,0.3521,0.5208,1.0,0.5925,0.7441,4,12,168,0.5692,0.8611,0.780991627,0.881581213,0.0,0.180952381,191.6,61.33333333
3,0,A_ingraph07,scale free,full,3,0.1,0.3307,0.406,0.3645,0.6328,0.8476,0.7246,True,1,1,0.7567,0.9784,0.3716,0.5386,0.9773,0.6245,0.7621,4,10,144,0.6385,0.7295,0.741476712,0.842254166,1.95,0.376190476,192.0,61.33333333
4,0,A_ingraph07,random graph,disc,3,0.1,0.0762,0.1301,0.0961,0.3203,0.3287,0.3244,True,1,1,0.9612,1.0,0.3402,0.5077,0.9838,0.5195,0.6799,3,12,119,0.5328,0.8867,0.786403112,0.759310565,0.0,0.159090909,27.4,9.666666667
5,0,A_ingraph07,random graph,full,3,0.1,0.1283,0.1363,0.1322,0.275,0.3108,0.2918,True,1,1,0.9572,0.973,0.3372,0.5008,0.9465,0.5091,0.6621,5,12,112,0.7581,0.8625,0.668219767,0.665963906,0.9,0.287878788,27.2,9.666666667
0,0,A_ingraph07,small world,disc,3,0.1,0.5314,0.8618,0.6574,0.6172,0.7981,0.6961,False,1,1,0.823,1.0,0.6398,0.7803,0.7251,0.7806,0.7518,4,13,26,0.5931,0.806,0.799975715,0.759746223,0.0,0.3,72.6,20.0
1,0,A_ingraph07,small world,full,3,0.1,0.299,0.5215,0.38,0.3745,0.6027,0.462,False,1,1,0.5772,0.6002,0.447,0.5124,0.5427,0.68,0.6036,4,11,22,0.5065,0.5723,0.698516095,0.690238879,2.0,0.457142857,71.2,20.0
2,0,A_ingraph07,scale free,disc,3,0.1,0.1121,0.1649,0.1335,0.72,0.9066,0.8026,False,1,1,0.9188,1.0,0.3521,0.5208,1.0,0.5925,0.7441,3,10,168,0.6574,0.8689,0.780991627,0.881581213,0.0,0.180952381,191.6,61.33333333
3,0,A_ingraph07,scale free,full,3,0.1,0.1217,0.21,0.1541,0.6731,0.8446,0.7491,False,1,1,0.7567,0.9784,0.3716,0.5386,0.9773,0.6245,0.7621,4,12,144,0.3462,0.7149,0.741476712,0.842254166,1.95,0.376190476,192.0,61.33333333
4,0,A_ingraph07,random graph,disc,3,0.1,0.0406,0.0543,0.0465,0.2879,0.3036,0.2956,False,1,1,0.9612,1.0,0.3402,0.5077,0.9838,0.5195,0.6799,4,12,119,0.6664,0.8719,0.786403112,0.759310565,0.0,0.159090909,27.4,9.666666667
5,0,A_ingraph07,random graph,full,3,0.1,0.1392,0.179,0.1566,0.321,0.3432,0.3317,False,1,1,0.9572,0.973,0.3372,0.5008,0.9465,0.5091,0.6621,4,12,112,0.6798,0.8702,0.668219767,0.665963906,0.9,0.287878788,27.2,9.666666667
